block,timestamp,previousVariableBorrowIndex,variableBorrowIndex,percent_deltaIndex,currentVariableBorrowRate,utilization
24462297,1771159619,1218059052067780252708462969,1218059417781226914632210871,0.000000008340077468144752286715,37573240932568323537244611,0.691375198125730561216073510877
24462306,1771159727,1218059417781226914632210871,1218059574515620472808369124,0.000000001191439730824978667720,37573263085172472726084896,0.691375611916233645537488428090
24462315,1771159835,1218059574515620472808369124,1218059731250126607061811342,0.000000001191440433966227459122,37573314842215517678096480,0.691376570471888274305172217282
24462317,1771159859,1218059731250126607061811342,1218059766080067576029537771,0.000000001191442019117990419129,37573882665111475316773579,0.691387020613449476691414474772
24462322,1771159919,1218059766080067576029537771,1218059853156240265680447186,0.000000001191460045439166971399,37574367809435003014120448,0.691395951398192876169446208223
24462341,1771160147,1218059853156240265680447186,1218060184050025618138772780,0.000000001191475548827213952275,37574383567940996153399804,0.691396254362518281055827173986
24462345,1771160195,1218060184050025618138772780,1218060253711915835922253937,0.000000001191475922553604909846,37574336382316863929740160,0.691395388811329336675726153771
24462350,1771160255,1218060253711915835922253937,1218060340789174859584431467,0.000000001191474433929566072069,37574343152883981800728018,0.691395516816718069819103220652
24462358,1771160351,1218060340789174859584431467,1218060480112827350386793527,0.000000001191474673552702206545,37574085982342507663072966,0.691390789968042818181004349753
24462360,1771160375,1218060480112827350386793527,1218060514943504569426518168,0.000000001191466471780107788201,37574086313953709229068807,0.691390797436951420884554408985
24462361,1771160387,1218060514943504569426518168,1218060532358843706142222027,0.000000001191466462528249387522,37574086479759309405253210,0.691390801171405500191724513570
24462362,1771160399,1218060532358843706142222027,1218060549774183168705232237,0.000000001191466481031966395676,37574183193680249324268548,0.691392581533078143252168956678
24462364,1771160423,1218060549774183168705232237,1218060584604952493346699970,0.000000001191469552649001123011,37574144932442967650753567,0.691391878816337124291635518603
24462365,1771160435,1218060584604952493346699970,1218060602020319795335459914,0.000000001191468331403674035339,37574145098248496892620048,0.691391882550793424044854873500
24462371,1771160507,1218060602020319795335459914,1218060706512529297331133140,0.000000001191468377662966865917,37573538164379077678099036,0.691380718175742092768132351921
24462377,1771160579,1218060706512529297331133140,1218060811003059903994384825,0.000000001191449130713253758447,37573539159216192908135093,0.691380740582353325862641213462
24462378,1771160591,1218060811003059903994384825,1218060828418149671004804673,0.000000001191449124545348020131,37573539325022363974608180,0.691380744316788420356090227870
24462379,1771160603,1218060828418149671004804673,1218060845833239763855622913,0.000000001191449124545348020131,37573539490828531763244082,0.691380748051223514849539242277
24462380,1771160615,1218060845833239763855622913,1218060863248330182546844881,0.000000001191449124545348020131,37573539656634704894326326,0.691380751785658720365290719201
24462385,1771160675,1218060863248330182546844881,1218060950323786395108432307,0.000000001191449168954269046496,37520483700837665205235604,0.690404447651726038692743259162
24462389,1771160723,1218060950323786395108432307,1218061019885791476159407855,0.000000001189766766588699504116,37520139142193488511422446,0.690398109988530239711224112398
24462391,1771160747,1218061019885791476159407855,1218061054666476104991269506,0.000000001189755821640048338850,37520129849360673777725674,0.690397940347653782389159005106
24462396,1771160807,1218061054666476104991269506,1218061141618170486183822822,0.000000001189755557036894191666,37520130678668493886634774,0.690397959010372042065739606187
24462398,1771160831,1218061141618170486183822822,1218061176398850745399742571,0.000000001189755553336150790035,37520131010391613991685161,0.690397966475459257118529876607
24462402,1771160879,1218061176398850745399742571,1218061245960214858234361668,0.000000001189755585717655606004,37520141298393698092878461,0.690398158511599469022712582955
24462415,1771161035,1218061245960214858234361668,1218061472034737649742043891,0.000000001189755986038457674961,37520143406458625678210254,0.690398206148915782875974400667
24462423,1771161131,1218061472034737649742043891,1218061611157549578446236142,0.000000001189756011303148447912,37520144733351096590563954,0.690398236009270527269165995676
24462429,1771161203,1218061611157549578446236142,1218061715499672642911616879,0.000000001189756034432794656406,37520153911531449518669717,0.690398408983967981633611543657
24462430,1771161215,1218061715499672642911616879,1218061732890031610010635859,0.000000001189756274981116796387,37520984530568709999945888,0.690413694275766598451582467533
